compound_name,target_name,gene_symbol,uniprot_id,chembl_id,target_class,probability,source
Kaempferol,Lymphocyte differentiation antigen CD38,CD38,P28907,CHEMBL4660,Enzyme,0.295453304889,SwissTargetPrediction
Kaempferol,DNA topoisomerase I   (by homology),TOP1,P11387,CHEMBL1781,Isomerase,0.295453304889,SwissTargetPrediction
Kaempferol,Estrogen receptor alpha,ESR1,P03372,CHEMBL206,Nuclear receptor,0.270836923428,SwissTargetPrediction
Kaempferol,Cyclooxygenase-2,PTGS2,P35354,CHEMBL230,Oxidoreductase,0.270836923428,SwissTargetPrediction
Kaempferol,Cystic fibrosis transmembrane conductance regulator,CFTR,P13569,CHEMBL4051,Other ion channel,0.270836923428,SwissTargetPrediction
Kaempferol,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3",PFKFB3,Q16875,CHEMBL2331053,Enzyme,0.262581505846,SwissTargetPrediction
Kaempferol,AMY1C,AMY1A,P04745,CHEMBL2478,Enzyme,0.237885167579,SwissTargetPrediction
Kaempferol,G protein-coupled receptor kinase 6,GRK6,P43250,CHEMBL6144,Kinase,0.237885167579,SwissTargetPrediction
Kaempferol,Telomerase reverse transcriptase,TERT,O14746,CHEMBL2916,Enzyme,0.229685699326,SwissTargetPrediction
Kaempferol,Microtubule-associated protein tau,MAPT,P10636,CHEMBL1293224,Unclassified protein,0.171978589411,SwissTargetPrediction
Naringin,Cytochrome P450 19A1,CYP19A1,P11511,CHEMBL1978,Cytochrome P450,1.0,SwissTargetPrediction
Rutin,Neuromedin-U receptor 2,NMUR2,Q9GZQ4,CHEMBL1075144,Family A G protein-coupled receptor,1.0,SwissTargetPrediction
Rutin,Alpha-2a adrenergic receptor,ADRA2A,P08913,CHEMBL1867,Family A G protein-coupled receptor,1.0,SwissTargetPrediction
Rutin,Adrenergic receptor alpha-2,ADRA2C,P18825,CHEMBL1916,Family A G protein-coupled receptor,1.0,SwissTargetPrediction
Rutin,Acetylcholinesterase,ACHE,P22303,CHEMBL220,Hydrolase,1.0,SwissTargetPrediction
Rutin,Aldose reductase,AKR1B1,P15121,CHEMBL1900,Enzyme,0.59332095354,SwissTargetPrediction
Rutin,NADPH oxidase 4,NOX4,Q9NPH5,CHEMBL1250375,Enzyme,0.448822366323,SwissTargetPrediction
Rutin,Carbonic anhydrase VII,CA7,P43166,CHEMBL2326,Lyase,0.439870618639,SwissTargetPrediction
Rutin,Carbonic anhydrase XII,CA12,O43570,CHEMBL3242,Lyase,0.439870618639,SwissTargetPrediction
Rutin,Carbonic anhydrase IV,CA4,P22748,CHEMBL3729,Lyase,0.439870618639,SwissTargetPrediction
Rutin,Carbonic anhydrase II,CA2,P00918,CHEMBL205,Lyase,0.401230341882,SwissTargetPrediction
Rutin,Ribosomal protein S6 kinase alpha 3,RPS6KA3,P51812,CHEMBL2345,Kinase,0.257300262028,SwissTargetPrediction
Rutin,Quinone reductase 2,NQO2,P16083,CHEMBL3959,Enzyme,0.229011931476,SwissTargetPrediction
Rutin,Xanthine dehydrogenase,XDH,P47989,CHEMBL1929,Oxidoreductase,0.133198489461,SwissTargetPrediction
Myricetin,Microtubule-associated protein tau,MAPT,P10636,CHEMBL1293224,Unclassified protein,1.0,SwissTargetPrediction
Myricetin,Lysine-specific demethylase 4D-like,KDM4E,B2RXH2,CHEMBL1293226,Eraser,1.0,SwissTargetPrediction
Myricetin,G-protein coupled receptor 35,GPR35,Q9HC97,CHEMBL1293267,Family A G protein-coupled receptor,1.0,SwissTargetPrediction
Myricetin,DNA topoisomerase II alpha,TOP2A,P11388,CHEMBL1806,Isomerase,1.0,SwissTargetPrediction
Myricetin,Xanthine dehydrogenase,XDH,P47989,CHEMBL1929,Oxidoreductase,1.0,SwissTargetPrediction
Myricetin,Tyrosine-protein kinase receptor FLT3,FLT3,P36888,CHEMBL1974,Kinase,1.0,SwissTargetPrediction
Myricetin,Insulin receptor,INSR,P06213,CHEMBL1981,Kinase,1.0,SwissTargetPrediction
Myricetin,Acetylcholinesterase,ACHE,P22303,CHEMBL220,Hydrolase,1.0,SwissTargetPrediction
Myricetin,Glyoxalase I,GLO1,Q04760,CHEMBL2424,Enzyme,1.0,SwissTargetPrediction
Myricetin,"Myosin light chain kinase, smooth muscle",MYLK,Q15746,CHEMBL2428,Kinase,1.0,SwissTargetPrediction
Myricetin,Tyrosine-protein kinase SYK,SYK,P43405,CHEMBL2599,Kinase,1.0,SwissTargetPrediction
Myricetin,Multidrug resistance-associated protein 1,ABCC1,P33527,CHEMBL3004,Primary active transporter,1.0,SwissTargetPrediction
Myricetin,PI3-kinase p110-gamma subunit,PIK3CG,P48736,CHEMBL3267,Enzyme,1.0,SwissTargetPrediction
Myricetin,Beta-secretase 1,BACE1,P56817,CHEMBL4822,Protease,1.0,SwissTargetPrediction
Myricetin,DNA-(apurinic or apyrimidinic site) lyase,APEX1,P27695,CHEMBL5619,Enzyme,1.0,SwissTargetPrediction
Myricetin,NADPH oxidase 4,NOX4,Q9NPH5,CHEMBL1250375,Enzyme,0.718174334384,SwissTargetPrediction
Myricetin,Vasopressin V2 receptor,AVPR2,P30518,CHEMBL1790,Family A G protein-coupled receptor,0.718174334384,SwissTargetPrediction
Myricetin,Aldose reductase,AKR1B1,P15121,CHEMBL1900,Enzyme,0.718174334384,SwissTargetPrediction
Myricetin,Monoamine oxidase A,MAOA,P21397,CHEMBL1951,Oxidoreductase,0.718174334384,SwissTargetPrediction
Myricetin,Insulin-like growth factor I receptor,IGF1R,P08069,CHEMBL1957,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,Cytochrome P450 19A1,CYP19A1,P11511,CHEMBL1978,Cytochrome P450,0.718174334384,SwissTargetPrediction
Myricetin,Epidermal growth factor receptor erbB1,EGFR,P00533,CHEMBL203,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,Thrombin,F2,P00734,CHEMBL204,Protease,0.718174334384,SwissTargetPrediction
Myricetin,Carbonic anhydrase II,CA2,P00918,CHEMBL205,Lyase,0.718174334384,SwissTargetPrediction
Myricetin,Serine/threonine-protein kinase PIM1,PIM1,P11309,CHEMBL2147,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.718174334384,SwissTargetPrediction
Myricetin,Serine/threonine-protein kinase Aurora-B,AURKB,Q96GD4,CHEMBL2185,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,Dopamine D4 receptor,DRD4,P21917,CHEMBL219,Family A G protein-coupled receptor,0.718174334384,SwissTargetPrediction
Myricetin,Adenosine A1 receptor   (by homology),ADORA1,P30542,CHEMBL226,Family A G protein-coupled receptor,0.718174334384,SwissTargetPrediction
Myricetin,Carbonic anhydrase VII,CA7,P43166,CHEMBL2326,Lyase,0.718174334384,SwissTargetPrediction
Myricetin,Myeloperoxidase,MPO,P05164,CHEMBL2439,Enzyme,0.718174334384,SwissTargetPrediction
Myricetin,PI3-kinase p85-alpha subunit,PIK3R1,P27986,CHEMBL2506,Enzyme,0.718174334384,SwissTargetPrediction
Myricetin,Adenosine A2a receptor   (by homology),ADORA2A,P29274,CHEMBL251,Family A G protein-coupled receptor,0.718174334384,SwissTargetPrediction
Myricetin,Death-associated protein kinase 1,DAPK1,P53355,CHEMBL2558,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,Liver glycogen phosphorylase,PYGL,P06737,CHEMBL2568,Enzyme,0.718174334384,SwissTargetPrediction
Myricetin,Carbonic anhydrase I,CA1,P00915,CHEMBL261,Lyase,0.718174334384,SwissTargetPrediction
Myricetin,Glycogen synthase kinase-3 beta,GSK3B,P49841,CHEMBL262,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,Tyrosine-protein kinase SRC,SRC,P12931,CHEMBL267,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,Focal adhesion kinase 1,PTK2,Q05397,CHEMBL2695,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,Estradiol 17-beta-dehydrogenase 2,HSD17B2,P37059,CHEMBL2789,Enzyme,0.718174334384,SwissTargetPrediction
Myricetin,Vascular endothelial growth factor receptor 2,KDR,P35968,CHEMBL279,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,Matrix metalloproteinase 13,MMP13,P45452,CHEMBL280,Protease,0.718174334384,SwissTargetPrediction
Myricetin,Matrix metalloproteinase 3,MMP3,P08254,CHEMBL283,Protease,0.718174334384,SwissTargetPrediction
Myricetin,Carbonic anhydrase III,CA3,P07451,CHEMBL2885,Lyase,0.718174334384,SwissTargetPrediction
Myricetin,Arachidonate 15-lipoxygenase,ALOX15,P16050,CHEMBL2903,Enzyme,0.718174334384,SwissTargetPrediction
Myricetin,Serine/threonine-protein kinase PLK1,PLK1,P53350,CHEMBL3024,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,Carbonic anhydrase VI,CA6,P23280,CHEMBL3025,Lyase,0.718174334384,SwissTargetPrediction
Myricetin,Cyclin-dependent kinase 1,CDK1,P06493,CHEMBL308,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,Matrix metalloproteinase 9,MMP9,P14780,CHEMBL321,Protease,0.718174334384,SwissTargetPrediction
Myricetin,Carbonic anhydrase XII,CA12,O43570,CHEMBL3242,Lyase,0.718174334384,SwissTargetPrediction
Myricetin,Matrix metalloproteinase 2,MMP2,P08253,CHEMBL333,Protease,0.718174334384,SwissTargetPrediction
Myricetin,Protein kinase N1,PKN1,Q16512,CHEMBL3384,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,Carbonic anhydrase XIV,CA14,Q9ULX7,CHEMBL3510,Lyase,0.718174334384,SwissTargetPrediction
Myricetin,Carbonic anhydrase IX,CA9,Q16790,CHEMBL3594,Lyase,0.718174334384,SwissTargetPrediction
Myricetin,Casein kinase II alpha,CSNK2A1,P68400,CHEMBL3629,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,Arachidonate 12-lipoxygenase,ALOX12,P18054,CHEMBL3687,Enzyme,0.718174334384,SwissTargetPrediction
Myricetin,Hepatocyte growth factor receptor,MET,P08581,CHEMBL3717,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,Carbonic anhydrase IV,CA4,P22748,CHEMBL3729,Lyase,0.718174334384,SwissTargetPrediction
Myricetin,Serine/threonine-protein kinase NEK2,NEK2,P51955,CHEMBL3835,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,Interleukin-8 receptor A,CXCR1,P25024,CHEMBL4029,Family A G protein-coupled receptor,0.718174334384,SwissTargetPrediction
Myricetin,CaM kinase II beta,CAMK2B,Q13554,CHEMBL4121,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,ALK tyrosine kinase receptor,ALK,Q9UM73,CHEMBL4247,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,Serine/threonine-protein kinase AKT,AKT1,P31749,CHEMBL4282,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0.718174334384,SwissTargetPrediction
Myricetin,Serine/threonine-protein kinase NEK6,NEK6,Q9HC98,CHEMBL4309,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,Phospholipase A2 group 1B,PLA2G1B,P04054,CHEMBL4426,Enzyme,0.718174334384,SwissTargetPrediction
Myricetin,Carbonic anhydrase VA,CA5A,P35218,CHEMBL4789,Lyase,0.718174334384,SwissTargetPrediction
Myricetin,Cytochrome P450 1B1,CYP1B1,Q16678,CHEMBL4878,Cytochrome P450,0.718174334384,SwissTargetPrediction
Myricetin,Tyrosine-protein kinase receptor UFO,AXL,P30530,CHEMBL4895,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,ATP-binding cassette sub-family G member 2,ABCG2,Q9UNQ0,CHEMBL5393,Primary active transporter,0.718174334384,SwissTargetPrediction
Myricetin,NUAK family SNF1-like kinase 1,NUAK1,O60285,CHEMBL5784,Kinase,0.718174334384,SwissTargetPrediction
Myricetin,Aldo-keto reductase family 1 member C2   (by homology),AKR1C2,P52895,CHEMBL5847,Enzyme,0.718174334384,SwissTargetPrediction
Myricetin,Aldo-keto reductase family 1 member C1   (by homology),AKR1C1,Q04828,CHEMBL5905,Enzyme,0.718174334384,SwissTargetPrediction
Myricetin,Aldo-keto-reductase family 1 member C3   (by homology),AKR1C3,P42330,CHEMBL4681,Enzyme,0.718174334384,SwissTargetPrediction
Myricetin,Aldo-keto reductase family 1 member C4   (by homology),AKR1C4,P17516,CHEMBL4999,Enzyme,0.718174334384,SwissTargetPrediction
Myricetin,Carbonic anhydrase XIII   (by homology),CA13,Q8N1Q1,CHEMBL3912,Lyase,0.718174334384,SwissTargetPrediction
Myricetin,Aldehyde reductase   (by homology),AKR1A1,P14550,CHEMBL2246,Enzyme,0.718174334384,SwissTargetPrediction
Myricetin,Receptor-type tyrosine-protein phosphatase S,PTPRS,Q13332,CHEMBL2396508,Phosphatase,0.343149297058,SwissTargetPrediction
Myricetin,Estrogen receptor beta,ESR2,Q92731,CHEMBL242,Nuclear receptor,0.259910103952,SwissTargetPrediction
Myricetin,DNA-3-methyladenine glycosylase,MPG,P29372,CHEMBL3396943,Enzyme,0.259910103952,SwissTargetPrediction
Myricetin,Solute carrier family 22 member 12,SLC22A12,Q96S37,CHEMBL6120,Electrochemical transporter,0.259910103952,SwissTargetPrediction
Myricetin,Cyclin-dependent kinase 5/CDK5 activator 1,CDK5R1 CDK5,Q15078 Q00535,CHEMBL1907600,Kinase,0.251528880603,SwissTargetPrediction
Myricetin,Cyclin-dependent kinase 1/cyclin B,CCNB3 CDK1 CCNB1 CCNB2,Q8WWL7 P06493 P14635 O95067,CHEMBL2094127,Other cytosolic protein,0.251528880603,SwissTargetPrediction
Myricetin,Arginase-1   (by homology),ARG1,P05089,CHEMBL1075097,Enzyme,0.251528880603,SwissTargetPrediction
Myricetin,Cyclin-dependent kinase 6,CDK6,Q00534,CHEMBL2508,Kinase,0.251528880603,SwissTargetPrediction
Myricetin,Cyclin-dependent kinase 2,CDK2,P24941,CHEMBL301,Kinase,0.251528880603,SwissTargetPrediction
Myricetin,Tyrosinase,TYR,P14679,CHEMBL1973,Oxidoreductase,0.176593624722,SwissTargetPrediction
Myricetin,Estradiol 17-beta-dehydrogenase 1,HSD17B1,P14061,CHEMBL3181,Enzyme,0.176593624722,SwissTargetPrediction
Myricetin,Aryl hydrocarbon receptor,AHR,P35869,CHEMBL3201,Transcription factor,0.176593624722,SwissTargetPrediction
Myricetin,Estrogen-related receptor alpha,ESRRA,P11474,CHEMBL3429,Nuclear receptor,0.176593624722,SwissTargetPrediction
Myricetin,Butyrylcholinesterase,BCHE,P06276,CHEMBL1914,Hydrolase,0.143269256947,SwissTargetPrediction
Myricetin,Adenosine A3 receptor,ADORA3,P0DMS8,CHEMBL256,Family A G protein-coupled receptor,0.143269256947,SwissTargetPrediction
Myricetin,"Beta-galactoside alpha-2,6-sialyltransferase 1",ST6GAL1,P15907,CHEMBL3596075,Transferase,0.143269256947,SwissTargetPrediction
Myricetin,Beta amyloid A4 protein,APP,P05067,CHEMBL2487,Membrane receptor,0.134939008937,SwissTargetPrediction
Myricetin,Poly [ADP-ribose] polymerase-1,PARP1,P09874,CHEMBL3105,Enzyme,0.134939008937,SwissTargetPrediction
Myricetin,Transthyretin,TTR,P02766,CHEMBL3194,Secreted protein,0.134939008937,SwissTargetPrediction
Myricetin,Matrix metalloproteinase 12,MMP12,P39900,CHEMBL4393,Protease,0.134939008937,SwissTargetPrediction
Myricetin,Lymphocyte differentiation antigen CD38,CD38,P28907,CHEMBL4660,Enzyme,0.134939008937,SwissTargetPrediction
Myricetin,Aldo-keto reductase family 1 member B10,AKR1B10,O60218,CHEMBL5983,Enzyme,0.134939008937,SwissTargetPrediction
Myricetin,Tankyrase-2,TNKS2,Q9H2K2,CHEMBL6154,Enzyme,0.134939008937,SwissTargetPrediction
Icariside C3,Phosphodiesterase 5A,PDE5A,O76074,CHEMBL1827,Phosphodiesterase,0.249459939682,SwissTargetPrediction
Phalerin,Adenosine A2a receptor,ADORA2A,P29274,CHEMBL251,Family A G protein-coupled receptor,0.127302569502,SwissTargetPrediction
Phalerin,Adenosine A1 receptor,ADORA1,P30542,CHEMBL226,Family A G protein-coupled receptor,0.127302569502,SwissTargetPrediction
Phalerin,Adenosine A3 receptor,ADORA3,P0DMS8,CHEMBL256,Family A G protein-coupled receptor,0.119403562123,SwissTargetPrediction
Phalerin,ATP-binding cassette sub-family G member 2,ABCG2,Q9UNQ0,CHEMBL5393,Primary active transporter,0.119403562123,SwissTargetPrediction
Phalerin,Receptor-type tyrosine-protein phosphatase S,PTPRS,Q13332,CHEMBL2396508,Phosphatase,0.119403562123,SwissTargetPrediction
Phalerin,Tyrosine-protein kinase receptor FLT3,FLT3,P36888,CHEMBL1974,Kinase,0.11150186548,SwissTargetPrediction
Phalerin,P-glycoprotein 1,ABCB1,P08183,CHEMBL4302,Primary active transporter,0.11150186548,SwissTargetPrediction
Phalerin,Aldose reductase   (by homology),AKR1B1,P15121,CHEMBL1900,Enzyme,0.11150186548,SwissTargetPrediction
Phalerin,Stem cell growth factor receptor,KIT,P10721,CHEMBL1936,Kinase,0.11150186548,SwissTargetPrediction
Phalerin,Serine/threonine-protein kinase PIM1,PIM1,P11309,CHEMBL2147,Kinase,0.11150186548,SwissTargetPrediction
Phalerin,Carbonic anhydrase II,CA2,P00918,CHEMBL205,Lyase,0.11150186548,SwissTargetPrediction
Phalerin,Carbonic anhydrase I,CA1,P00915,CHEMBL261,Lyase,0.11150186548,SwissTargetPrediction
Phalerin,Plasminogen,PLG,P00747,CHEMBL1801,Protease,0.11150186548,SwissTargetPrediction
Phalerin,Cyclin-dependent kinase 1,CDK1,P06493,CHEMBL308,Kinase,0.11150186548,SwissTargetPrediction
Phalerin,Arachidonate 15-lipoxygenase,ALOX15,P16050,CHEMBL2903,Enzyme,0.11150186548,SwissTargetPrediction
Phalerin,Xanthine dehydrogenase,XDH,P47989,CHEMBL1929,Oxidoreductase,0.11150186548,SwissTargetPrediction
Phalerin,AMY1C,AMY1A,P04745,CHEMBL2478,Enzyme,0.11150186548,SwissTargetPrediction
Phalerin,Monoamine oxidase B,MAOB,P27338,CHEMBL2039,Oxidoreductase,0.11150186548,SwissTargetPrediction
Phalerin,Cytochrome P450 19A1,CYP19A1,P11511,CHEMBL1978,Cytochrome P450,0.11150186548,SwissTargetPrediction
Phalerin,Cytochrome P450 1B1,CYP1B1,Q16678,CHEMBL4878,Cytochrome P450,0.11150186548,SwissTargetPrediction
Phalerin,Carbonic anhydrase VII,CA7,P43166,CHEMBL2326,Lyase,0.11150186548,SwissTargetPrediction
Phalerin,Cyclin-dependent kinase 6,CDK6,Q00534,CHEMBL2508,Kinase,0.11150186548,SwissTargetPrediction
Phalerin,Carbonyl reductase [NADPH] 1,CBR1,P16152,CHEMBL5586,Enzyme,0.11150186548,SwissTargetPrediction
Phalerin,Glycogen synthase kinase-3 beta,GSK3B,P49841,CHEMBL262,Kinase,0.11150186548,SwissTargetPrediction
Phalerin,Cyclin-dependent kinase 5/CDK5 activator 1,CDK5R1 CDK5,Q15078 Q00535,CHEMBL1907600,Kinase,0.11150186548,SwissTargetPrediction
Phalerin,Arachidonate 5-lipoxygenase,ALOX5,P09917,CHEMBL215,Oxidoreductase,0.11150186548,SwissTargetPrediction
Phalerin,Carbonic anhydrase XII,CA12,O43570,CHEMBL3242,Lyase,0.11150186548,SwissTargetPrediction
Phalerin,Carbonic anhydrase IX,CA9,Q16790,CHEMBL3594,Lyase,0.11150186548,SwissTargetPrediction
Phalerin,Cytochrome P450 1A1,CYP1A1,P04798,CHEMBL2231,Cytochrome P450,0.11150186548,SwissTargetPrediction
Phalerin,Cytochrome P450 1A2,CYP1A2,P05177,CHEMBL3356,Cytochrome P450,0.11150186548,SwissTargetPrediction
Phalerin,"Nitric oxide synthase, inducible",NOS2,P35228,CHEMBL4481,Enzyme,0.11150186548,SwissTargetPrediction
Phalerin,Cyclin-dependent kinase 1/cyclin B,CCNB3 CDK1 CCNB1 CCNB2,Q8WWL7 P06493 P14635 O95067,CHEMBL2094127,Other cytosolic protein,0.11150186548,SwissTargetPrediction
Phalerin,Aldo-keto reductase family 1 member B10,AKR1B10,O60218,CHEMBL5983,Enzyme,0.11150186548,SwissTargetPrediction
Phalerin,Tyrosine-protein kinase SYK,SYK,P43405,CHEMBL2599,Kinase,0.11150186548,SwissTargetPrediction
Phalerin,Tankyrase-1,TNKS,O95271,CHEMBL6164,Enzyme,0.11150186548,SwissTargetPrediction
Phalerin,Ornithine decarboxylase,ODC1,P11926,CHEMBL1869,Lyase,0.11150186548,SwissTargetPrediction
Phalerin,Cyclooxygenase-2   (by homology),PTGS2,P35354,CHEMBL230,Oxidoreductase,0.11150186548,SwissTargetPrediction
Phalerin,Metabotropic glutamate receptor 5,GRM5,P41594,CHEMBL3227,Family C G protein-coupled receptor,0.11150186548,SwissTargetPrediction
Phalerin,G protein-coupled receptor kinase 6,GRK6,P43250,CHEMBL6144,Kinase,0.11150186548,SwissTargetPrediction
Phalerin,Lysine-specific demethylase 4D-like,KDM4E,B2RXH2,CHEMBL1293226,Eraser,0.11150186548,SwissTargetPrediction
Phalerin,Glyoxalase I,GLO1,Q04760,CHEMBL2424,Enzyme,0.11150186548,SwissTargetPrediction
Phalerin,DNA topoisomerase I   (by homology),TOP1,P11387,CHEMBL1781,Isomerase,0.11150186548,SwissTargetPrediction
Phalerin,Arginase-1   (by homology),ARG1,P05089,CHEMBL1075097,Enzyme,0.11150186548,SwissTargetPrediction
Phalerin,Casein kinase II alpha,CSNK2A1,P68400,CHEMBL3629,Kinase,0.11150186548,SwissTargetPrediction
Phalerin,Tyrosine-protein kinase LCK,LCK,P06239,CHEMBL258,Kinase,0.11150186548,SwissTargetPrediction
Phalerin,Carbonic anhydrase IV,CA4,P22748,CHEMBL3729,Lyase,0.11150186548,SwissTargetPrediction
Phalerin,Monoamine oxidase A,MAOA,P21397,CHEMBL1951,Oxidoreductase,0.11150186548,SwissTargetPrediction
Phalerin,Delta opioid receptor,OPRD1,P41143,CHEMBL236,Family A G protein-coupled receptor,0.11150186548,SwissTargetPrediction
Phalerin,Telomerase reverse transcriptase,TERT,O14746,CHEMBL2916,Enzyme,0.11150186548,SwissTargetPrediction
Phalerin,Acetylcholinesterase,ACHE,P22303,CHEMBL220,Hydrolase,0.11150186548,SwissTargetPrediction
Phalerin,Poly [ADP-ribose] polymerase-1,PARP1,P09874,CHEMBL3105,Enzyme,0.11150186548,SwissTargetPrediction
Phalerin,Acyl coenzyme A:cholesterol acyltransferase,CES1,P23141,CHEMBL2265,Enzyme,0.11150186548,SwissTargetPrediction
Phalerin,Carboxylesterase 2,CES2,O00748,CHEMBL3180,Enzyme,0.11150186548,SwissTargetPrediction
Phalerin,Voltage-gated potassium channel subunit Kv1.3,KCNA3,P22001,CHEMBL4633,Voltage-gated ion channel,0.11150186548,SwissTargetPrediction
Phalerin,Dihydrofolate reductase,DHFR,P00374,CHEMBL202,Oxidoreductase,0.11150186548,SwissTargetPrediction
Phalerin,Adenosine A2b receptor,ADORA2B,P29275,CHEMBL255,Family A G protein-coupled receptor,0.11150186548,SwissTargetPrediction
Phalerin,Epidermal growth factor receptor erbB1,EGFR,P00533,CHEMBL203,Kinase,0.11150186548,SwissTargetPrediction
Phalerin,Branched-chain-amino-acid transferase,BCAT1,P54687,CHEMBL4679,Enzyme,0.11150186548,SwissTargetPrediction
Phalerin,Arachidonate 12-lipoxygenase,ALOX12,P18054,CHEMBL3687,Enzyme,0.11150186548,SwissTargetPrediction
Phalerin,Tyrosinase,TYR,P14679,CHEMBL1973,Oxidoreductase,0.11150186548,SwissTargetPrediction
Phalerin,Aryl hydrocarbon receptor,AHR,P35869,CHEMBL3201,Transcription factor,0.11150186548,SwissTargetPrediction
Phalerin,MAP kinase p38 alpha,MAPK14,Q16539,CHEMBL260,Kinase,0.11150186548,SwissTargetPrediction
Phalerin,Cytochrome P450 17A1,CYP17A1,P05093,CHEMBL3522,Cytochrome P450,0.11150186548,SwissTargetPrediction
Phalerin,"Fructose-1,6-bisphosphatase",FBP1,P09467,CHEMBL3975,Enzyme,0.11150186548,SwissTargetPrediction
Phalerin,MAP kinase-interacting serine/threonine-protein kinase MNK1,MKNK1,Q9BUB5,CHEMBL4718,Kinase,0.11150186548,SwissTargetPrediction
Phalerin,Multidrug resistance-associated protein 1,ABCC1,P33527,CHEMBL3004,Primary active transporter,0.11150186548,SwissTargetPrediction
Phalerin,Calmodulin,CALM1,P62158,CHEMBL6093,Unclassified protein,0.11150186548,SwissTargetPrediction
Phalerin,NADPH oxidase 4,NOX4,Q9NPH5,CHEMBL1250375,Enzyme,0.11150186548,SwissTargetPrediction
Phalerin,Caspase-3,CASP3,P42574,CHEMBL2334,Protease,0.11150186548,SwissTargetPrediction
Phalerin,Ephrin type-B receptor 2,EPHB2,P29323,CHEMBL3290,Kinase,0.11150186548,SwissTargetPrediction
Phalerin,Caspase-7,CASP7,P55210,CHEMBL3468,Protease,0.11150186548,SwissTargetPrediction
Phalerin,Mu opioid receptor,OPRM1,P35372,CHEMBL233,Family A G protein-coupled receptor,0.11150186548,SwissTargetPrediction
Phalerin,NEDD8-activating enzyme E1 regulatory subunit,NAE1,Q13564,CHEMBL2016431,Unclassified protein,0.11150186548,SwissTargetPrediction
"""2,6,4'-trihydroxy-4-methoxybenzophenone""",Adenosine A1 receptor,ADORA1,P30542,CHEMBL226,Family A G protein-coupled receptor,0.613317503056,SwissTargetPrediction
"""2,6,4'-trihydroxy-4-methoxybenzophenone""",Monoamine oxidase B,MAOB,P27338,CHEMBL2039,Oxidoreductase,0.534366194512,SwissTargetPrediction
"""2,6,4'-trihydroxy-4-methoxybenzophenone""",Adenosine A3 receptor,ADORA3,P0DMS8,CHEMBL256,Family A G protein-coupled receptor,0.534366194512,SwissTargetPrediction
"""2,6,4'-trihydroxy-4-methoxybenzophenone""",Cytochrome P450 19A1,CYP19A1,P11511,CHEMBL1978,Cytochrome P450,0.525530990786,SwissTargetPrediction
"""2,6,4'-trihydroxy-4-methoxybenzophenone""",ATP-binding cassette sub-family G member 2,ABCG2,Q9UNQ0,CHEMBL5393,Primary active transporter,0.499264036194,SwissTargetPrediction
"""2,6,4'-trihydroxy-4-methoxybenzophenone""",Estradiol 17-beta-dehydrogenase 1,HSD17B1,P14061,CHEMBL3181,Enzyme,0.464153825252,SwissTargetPrediction
"""2,6,4'-trihydroxy-4-methoxybenzophenone""",Cytochrome P450 1B1,CYP1B1,Q16678,CHEMBL4878,Cytochrome P450,0.420300065815,SwissTargetPrediction
"""2,6,4'-trihydroxy-4-methoxybenzophenone""",Carbonic anhydrase XII,CA12,O43570,CHEMBL3242,Lyase,0.411407691146,SwissTargetPrediction
"""2,6,4'-trihydroxy-4-methoxybenzophenone""",Taste receptor type 2 member 31,TAS2R31,P59538,CHEMBL2034804,Taste family G protein-coupled receptor,0.393972893247,SwissTargetPrediction
"""2,6,4'-trihydroxy-4-methoxybenzophenone""",Multidrug resistance-associated protein 1,ABCC1,P33527,CHEMBL3004,Primary active transporter,0.314979836402,SwissTargetPrediction
"""2,6,4'-trihydroxy-4-methoxybenzophenone""",Carbonyl reductase [NADPH] 1,CBR1,P16152,CHEMBL5586,Enzyme,0.306239351562,SwissTargetPrediction
"""2,6,4'-trihydroxy-4-methoxybenzophenone""",Carbonic anhydrase VII,CA7,P43166,CHEMBL2326,Lyase,0.271107241944,SwissTargetPrediction
"""2,6,4'-trihydroxy-4-methoxybenzophenone""",Carbonic anhydrase IV,CA4,P22748,CHEMBL3729,Lyase,0.236049336727,SwissTargetPrediction
